Duty Id,Start Time,End Time,Start Stop Description,End Stop Description,Break Start Time,Break Duration,Break Stop Name
109,12:50,22:19,El Monte Station,Montclair Transit Center,"[""17:56"",""20:11""]","[37,17]","[""MTC Layover"",""EMS Layover""]"
110,03:15,09:50,Citrus Gold Line Station,El Monte Station,"[""05:24"",""07:09""]","[19,41]","[""EMS Layover"",""Grand Ave Park and Ride""]"
111,03:20,14:15,Durward and D St,Towne and Marketplace,"[""04:41"",""05:40"",""06:41"",""08:44""]","[19,20,19,183]","[""Towne and Marketplace"",""Durward and D St"",""Towne and Marketplace"",""Towne and Marketplace""]"
112,03:25,13:58,Towne and Marketplace,Durward and D St,"[""04:40"",""05:41"",""06:40"",""08:00"",""11:29""]","[20,19,20,151,19]","[""Durward and D St"",""Towne and Marketplace"",""Durward and D St"",""Towne and Marketplace"",""Towne and Marketplace""]"
113,03:50,17:23,Durward and D St,Towne and Marketplace,"[""06:00"",""07:01"",""09:20""]","[20,19,276]","[""Durward and D St"",""Towne and Marketplace"",""Towne and Marketplace""]"
114,03:55,17:24,Industry Park & Ride,Hope and 9th,"[""06:18"",""07:12"",""08:56""]","[16,23,252]","[""Puente Hills Mall Layover"",""Beach and La Habra"",""Pomona Yard""]"
115,03:55,14:16,El Monte Station,Temple Ave and S. Campus Dr,"[""08:25"",""11:32"",""12:36""]","[122,16,16]","[""Pomona Yard"",""Durward and D St"",""Towne and Marketplace""]"
116,03:55,16:35,Towne and Marketplace,Durward and D St,"[""06:01"",""07:00"",""08:03"",""09:20""]","[19,20,17,280]","[""Towne and Marketplace"",""Durward and D St"",""Towne and Marketplace"",""Durward and D St""]"
117,04:10,15:52,Industry Park & Ride,Hope and 9th,"[""08:53"",""12:03""]","[103,17]","[""Pomona Yard"",""Towne and Marketplace""]"
118,04:10,17:21,El Monte Station,Temple Ave and S. Campus Dr,"[""09:06""]",[204],"[""Pomona Yard""]"
119,04:10,15:47,Montclair Transit Center,El Monte Station,"[""08:51""]",[110],"[""Pomona Yard""]"
120,04:15,17:39,El Monte Station,Puente Hills Mall,"[""09:52""]",[253],"[""Pomona Yard""]"
121,04:20,17:54,Beach and La Habra,Puente Hills Mall,"[""06:18"",""10:02""]","[21,270]","[""Puente Hills Mall Layover"",""Pomona Yard""]"
122,04:30,17:56,Covina Transit Center,Hope and 9th,"[""09:16""]",[264],"[""Pomona Yard""]"
123,04:34,18:11,San Dimas Park and Ride,Hope and 9th,"[""09:18"",""15:17""]","[238,19]","[""Pomona Yard"",""Valley and Temple Layover""]"
124,04:40,18:11,Puente Hills Mall,Pomona Transit Center,"[""09:30""]",[253],"[""Valley and Temple Layover""]"
125,04:52,18:05,Montclair Transit Center,Hope and 9th,"[""09:48"",""14:40""]","[242,25]","[""Pomona Yard"",""Claremont Transit Center""]"
126,04:55,18:02,Ridgeway and Valley,Pomona Transit Center,"[""08:22""]",[254],"[""Pomona Yard""]"
127,05:00,18:19,Durward and D St,Towne and Marketplace,"[""06:21"",""07:23"",""08:23"",""10:27""]","[19,17,17,243]","[""Towne and Marketplace"",""Durward and D St"",""Towne and Marketplace"",""Towne and Marketplace""]"
128,05:00,18:09,Claremont Transit Center,Pomona Transit Center,"[""10:32"",""16:27""]","[213,17]","[""Pomona Yard"",""EMS Layover""]"
129,05:04,18:31,Citrus Gold Line Station,El Monte Station,"[""10:48""]",[263],"[""Pomona Yard""]"
130,05:04,18:39,Industry Park & Ride,Hope and 9th,"[""09:33"",""15:57""]","[242,17]","[""Pomona Yard"",""Valley and Temple Layover""]"
131,05:05,18:24,Towne and Marketplace,Durward and D St,"[""06:20"",""07:21"",""09:24"",""10:31""]","[20,19,16,279]","[""Durward and D St"",""Towne and Marketplace"",""Towne and Marketplace"",""Durward and D St""]"
132,05:05,18:38,Pomona Transit Center,Ridgeway and Valley,"[""09:40""]",[260],"[""Pomona Yard""]"
133,05:05,17:31,Brea Mall Transit Center,Pomona Transit Center,"[""07:06"",""09:34""]","[26,239]","[""San Dimas Park and Ride"",""Pomona Yard""]"
134,05:10,18:31,Temple Ave and S. Campus Dr,El Monte Station,"[""08:54""]",[249],"[""Pomona Yard""]"
135,05:15,18:52,Puente Hills Mall,El Monte Station,"[""09:25""]",[245],"[""Pomona Yard""]"
136,05:18,18:47,Montclair Transit Center,Hope and 9th,"[""10:27""]",[243],"[""Pomona Yard""]"
137,05:22,18:59,Temple Ave and S. Campus Dr,El Monte Station,"[""10:17""]",[213],"[""Pomona Yard""]"
138,05:24,19:03,Industry Park & Ride,Hope and 9th,"[""09:18""]",[278],"[""Pomona Yard""]"
139,05:25,19:01,Montclair Transit Center,Pomona Transit Center,"[""09:02"",""13:49""]","[285,16]","[""Pomona Yard"",""Montclair Transit Center""]"
140,08:24,21:59,Towne and Marketplace,Durward and D St,"[""13:08"",""18:44"",""20:43""]","[273,16,17]","[""Towne and Marketplace"",""Durward and D St"",""Durward and D St""]"
141,08:55,22:32,Durward and D St,Towne and Marketplace,"[""11:11"",""12:36"",""19:00"",""20:05""]","[21,272,20,25]","[""Durward and D St"",""Towne and Marketplace"",""Towne and Marketplace"",""Durward and D St""]"
142,09:00,22:29,Towne and Marketplace,Durward and D St,"[""11:09"",""13:40"",""18:59"",""20:07"",""21:13""]","[23,256,21,23,17]","[""Towne and Marketplace"",""Towne and Marketplace"",""Durward and D St"",""Towne and Marketplace"",""Durward and D St""]"
143,04:40,10:38,Citrus Gold Line Station,El Monte Station,[],[],[]
144,12:00,21:04,Pomona Transit Center,Puente Hills Mall,"[""13:45"",""15:37"",""18:17""]","[29,46,16]","[""Puente Hills Mall Layover"",""Valley and Temple Layover"",""Valley and Temple Layover""]"
